categoria,produto,preco,descricao,foto
BEBIDAS,AGUARDENTE CANINHA 51 ,"13,1",965ML | Pedido Mínimo: 3 un.,https://sostcomercial.agilecdn.com.br/11675_1.jpg
BEBIDAS,AGUARDENTE VELHO BARREIRO,"15,9",910ML | Pedido Mínimo: 3 un.,https://santaluzia.vtexassets.com/arquivos/ids/970775/520640.jpg?v=637385430025270000
GULOSEIMAS,BALA CHITA ABACAXI,10,500GR,https://images.tcdn.com.br/img/img_prod/670148/chita_abacaxi_600g_cory_2389_1_c9b5724bb1e2101e5482d5f5a8dbbd01.jpg
GULOSEIMAS,BALA CHITA SORTIDA ,10,500GR,https://cdn.awsli.com.br/265/265169/produto/15670884788bec66fc3.jpg
GULOSEIMAS,BALA ERLAN MAST SORTIDA,"7,5",500GR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCnHaVCgN7u_LMLadayw4TXg1XAkGYtpqJhkrlvQpwpWG-JAU26_-rsVI&s=10
GULOSEIMAS,BALA ICE KISS AZED MAST IOGURTE/MORANGO,10,500GR,https://distribuidoracampos.com.br/wp-content/uploads/2023/10/21184.png
GULOSEIMAS,BALA ICE KISS AZED MAST SORTIDA,10,500GR,https://manosdoces.vtexassets.com/arquivos/ids/3144457/Bala-Azedinha-Icekiss-Sortida.jpg?v=638711683095130000
GULOSEIMAS,BALA ICE KISS DURA GELADINHA MENTA,10,500GR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTg6rBTbbKv2uF76dWgoFI8vD_VzO-zR3V0RMQJsgQyIw&s
GULOSEIMAS,BALA ICE KISS DURA GELADINHA CEREJA,10,500GR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTf3fBml3A2G_jebw3kgzYvsM8-KH2oIdyoUfMobAlHhw&s=10
GULOSEIMAS,CHIC ARCOR POOSH HORTELA,"7,5",40 UN.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUy1WJ24a5B6ZgID90OlWmNWDEECWgWDxDgtXIxecBlg&s=10
GULOSEIMAS,CHIC ARCOR POOSH MORANGO,"7,5",40 UN.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRm6WilY3jUZvp5BuGbcLke-vzSM-RK4YcAXIxozh3O5w&s=10
